Resultseientific,Resultseientific,TX_ID
3878984.000000,3.8790 x 10^6,618
0.000000,0.0000 x 10^0,577
-3705.000000,-3.7050 x 10^3,671
0.119700,1.1970 x 10^-1,623
102.000000,1.0200 x 10^2,606
-6193.000000,-6.1930 x 10^3,651
14.000000,1.4000 x 10^1,850
137550.000000,1.3755 x 10^5,589
219558.000000,2.1956 x 10^5,592
0.114400,1.1440 x 10^-1,760
0.535500,5.3550 x 10^-1,654
7089.000000,7.0890 x 10^3,650
3322618.000000,3.3226 x 10^6,709
5377.000000,5.3770 x 10^3,633
930496.000000,9.3050 x 10^5,657
261.000000,2.6100 x 10^2,759
6544.000000,6.5440 x 10^3,771
2782272.000000,2.7823 x 10^6,591
539.000000,5.3900 x 10^2,846
156.000000,1.5600 x 10^2,825
3930.000000,3.9300 x 10^3,581
7076.000000,7.0760 x 10^3,708
8252.000000,8.2520 x 10^3,590
185.000000,1.8500 x 10^2,690
-1441.000000,-1.4410 x 10^3,655
663.000000,6.6300 x 10^2,762
0.061600,6.1600 x 10^-2,756
10265.000000,1.0265 x 10^4,625
1285746.000000,1.2857 x 10^6,624
5945.000000,5.9450 x 10^3,663
132.000000,1.3200 x 10^2,715
0.058900,5.8900 x 10^-2,701
0.000000,0.0000 x 10^0,317
0.000000,0.0000 x 10^0,692
-5916.000000,-5.9160 x 10^3,763
0.000000,0.0000 x 10^0,689
0.002800,2.8000 x 10^-3,686
0.000000,0.0000 x 10^0,619
106.000000,1.0600 x 10^2,578
5260752.000000,5.2608 x 10^6,646
512463.000000,5.1246 x 10^5,706
0.226000,2.2600 x 10^-1,627
0.000000,0.0000 x 10^0,617
72.000000,7.2000 x 10^1,626
-2733.000000,-2.7330 x 10^3,693
-2642.000000,-2.6420 x 10^3,697
2140008.000000,2.1400 x 10^6,521
724.000000,7.2400 x 10^2,656
0.108700,1.0870 x 10^-1,716
8812.000000,8.8120 x 10^3,772
0.111900,1.1190 x 10^-1,722
0.000000,0.0000 x 10^0,774
0.000000,0.0000 x 10^0,773
0.024400,2.4400 x 10^-2,826
0.102300,1.0230 x 10^-1,684
0.000000,0.0000 x 10^0,728
10343.000000,1.0343 x 10^4,564
378.000000,3.7800 x 10^2,691
2766.000000,2.7660 x 10^3,648
1515465.000000,1.5155 x 10^6,658
216.000000,2.1600 x 10^2,647
351.000000,3.5100 x 10^2,561
-2805.000000,-2.8050 x 10^3,660
182.000000,1.8200 x 10^2,702
0.548900,5.4890 x 10^-1,717
-2888.000000,-2.8880 x 10^3,679
-5133.000000,-5.1330 x 10^3,550
0.034100,3.4100 x 10^-2,687
0.320200,3.2020 x 10^-1,821
1.000000,1.0000 x 10^0,731
4263232.000000,4.2632 x 10^6,729
0.049900,4.9900 x 10^-2,781
1.000000,1.0000 x 10^0,635
9478.000000,9.4780 x 10^3,822
0.000000,0.0000 x 10^0,595
-4927.000000,-4.9270 x 10^3,705
663.000000,6.6300 x 10^2,680
0.092300,9.2300 x 10^-2,704
0.000000,0.0000 x 10^0,493
4191.000000,4.1910 x 10^3,3173
-2102.000000,-2.1020 x 10^3,270
-1350.000000,-1.3500 x 10^3,3030
317746.000000,3.1775 x 10^5,3113
0.000000,0.0000 x 10^0,839
0.171400,1.7140 x 10^-1,3121
362.000000,3.6200 x 10^2,495
714.000000,7.1400 x 10^2,3025
0.003100,3.1000 x 10^-3,3146
-7802.000000,-7.8020 x 10^3,682
3606324.000000,3.6063 x 10^6,803
0.000000,0.0000 x 10^0,661
-2725.000000,-2.7250 x 10^3,719
2708.000000,2.7080 x 10^3,649
0.177600,1.7760 x 10^-1,834
0.000000,0.0000 x 10^0,253
-7341.000000,-7.3410 x 10^3,698
-7061.000000,-7.0610 x 10^3,252
204.000000,2.0400 x 10^2,166
2250.000000,2.2500 x 10^3,685
446.000000,4.4600 x 10^2,699
2114124.000000,2.1141 x 10^6,456
0.289700,2.8970 x 10^-1,797
1299672.000000,1.2997 x 10^6,3143
8055.000000,8.0550 x 10^3,823
0.000000,0.0000 x 10^0,782
16.000000,1.6000 x 10^1,832
-3684.000000,-3.6840 x 10^3,799
0.067100,6.7100 x 10^-2,720
1972971.000000,1.9730 x 10^6,672
0.167000,1.6700 x 10^-1,707
0.049200,4.9200 x 10^-2,1137
679.000000,6.7900 x 10^2,1388
-2850.000000,-2.8500 x 10^3,608
3551.000000,3.5510 x 10^3,733
-2024.000000,-2.0240 x 10^3,462
0.006800,6.8000 x 10^-3,269
0.000000,0.0000 x 10^0,501
1.000000,1.0000 x 10^0,3145
3068064.000000,3.0681 x 10^6,3157
-950.000000,-9.5000 x 10^2,3082
8367.000000,8.3670 x 10^3,3104
3810912.000000,3.8109 x 10^6,342
285.000000,2.8500 x 10^2,3125
0.071000,7.1000 x 10^-2,519
409.000000,4.0900 x 10^2,474
0.000000,0.0000 x 10^0,3002
7131454.000000,7.1315 x 10^6,783
3457.000000,3.4570 x 10^3,779
379.000000,3.7900 x 10^2,510
0.000000,0.0000 x 10^0,3120
0.021200,2.1200 x 10^-2,827
1334.000000,1.3340 x 10^3,3045
0.000000,0.0000 x 10^0,3103
326.000000,3.2600 x 10^2,775
0.146400,1.4640 x 10^-1,1474
4366688.000000,4.3667 x 10^6,805
